basements,central_air,exterior_condition,fireplaces,garage_type,interior_condition,market_value,number_of_rooms,number_stories,parcel_shape,street_designation,topography,total_area,total_livable_area,type_heater,view_type,building_description,section
C,N,3.0,1.0,0,3.0,123100.0,7.0,0.0,E,AVE,6,1760.0,1589.0,B,I,MASONRY,South West
C,N,4.0,0.0,0,4.0,60400.0,7.0,0.0,E,ST ,6,2400.0,1620.0,A,I,MASONRY,West
C,N,4.0,0.0,C,4.0,60800.0,7.0,0.0,E,ST ,6,2400.0,1620.0,B,I,MASONRY,West
C,N,3.0,0.0,B,3.0,60900.0,6.0,0.0,E,ST ,6,2500.0,840.0,B,I,MASONRY,West
C,N,4.0,0.0,0,4.0,75200.0,7.0,0.0,E,ST ,6,2383.29,1600.0,A,I,MASONRY,West
C,N,4.0,0.0,0,4.0,52900.0,6.0,2.0,E,AVE,6,1518.69,1277.0,B,I,MASONRY,West
C,N,4.0,0.0,0,4.0,67200.0,6.0,2.0,E,ST ,6,1979.44,1116.0,B,I,MASONRY,West
C,N,3.0,0.0,0,3.0,98200.0,6.0,2.0,E,ST ,6,1850.03,1352.0,A,I,MASONRY,West
C,N,3.0,0.0,0,3.0,106900.0,6.0,2.0,E,ST ,6,1840.02,1470.0,A,I,MASONRY,West
C,N,3.0,0.0,0,3.0,128300.0,7.0,2.0,E,ST ,6,1440.0,1504.0,A,I,MASONRY,West
C,N,5.0,0.0,C,5.0,40600.0,6.0,2.0,E,ST ,6,1679.97,1264.0,A,I,MASONRY,West
C,N,4.0,0.0,C,4.0,67100.0,6.0,2.0,E,ST ,6,1652.3,1222.0,A,I,MASONRY,West
C,N,4.0,0.0,0,4.0,88900.0,7.0,2.0,E,ST ,6,2200.0,1504.0,A,I,MASONRY,West
C,N,3.0,0.0,0,3.0,46000.0,7.0,2.0,E,ST ,6,1712.0,1528.0,A,I,MASONRY,West
C,Y,2.0,0.0,0,2.0,46000.0,7.0,2.0,E,ST ,6,1712.0,1528.0,A,I,MASONRY,West
C,N,4.0,0.0,0,4.0,72900.0,7.0,2.0,E,ST ,6,1712.0,1528.0,A,I,MASONRY,West
C,N,3.0,0.0,0,3.0,100300.0,6.0,2.0,E,ST ,6,1578.71,1422.0,A,I,MASONRY,West
A,Y,3.0,0.0,0,3.0,113000.0,6.0,0.0,E,ST ,6,1440.0,1325.0,A,I,MASONRY,West
C,N,4.0,0.0,0,4.0,55000.0,7.0,0.0,E,ST ,6,1874.7,1608.0,B,I,MASONRY,West
C,N,4.0,0.0,0,4.0,57400.0,6.0,0.0,E,ST ,6,1440.0,1350.0,A,I,MASONRY,West
C,N,5.0,0.0,0,5.0,35800.0,6.0,0.0,E,ST ,6,1874.7,1440.0,B,I,MASONRY,West
C,N,3.0,0.0,0,3.0,115200.0,6.0,0.0,E,ST ,6,1440.0,1350.0,B,I,MASONRY,West
B,Y,3.0,0.0,0,3.0,115200.0,6.0,0.0,E,ST ,6,1440.0,1350.0,A,I,MASONRY,West
J,N,4.0,0.0,0,4.0,67100.0,7.0,0.0,E,ST ,6,2500.02,1578.0,A,I,MASONRY,West
